,date,video_id,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,downloaded
0,2019-07-12T19:16:37.000Z,VT2o4KCEbes,4. Transactions and the UTXO model,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/VT2o4KCEbes/default.jpg,https://i.ytimg.com/vi/VT2o4KCEbes/mqdefault.jpg,https://i.ytimg.com/vi/VT2o4KCEbes/hqdefault.jpg,True
1,2019-07-10T17:28:27.000Z,YcxHJcGU8u0,"Class 4, Part 2: The Challenge from Globalization for Advanced Manufacturing and New Services","MIT STS.081 Innovation Systems for Science, Technology, Energy, Manufacturing, and Health, Spring 2017",https://i.ytimg.com/vi/YcxHJcGU8u0/default.jpg,https://i.ytimg.com/vi/YcxHJcGU8u0/mqdefault.jpg,https://i.ytimg.com/vi/YcxHJcGU8u0/hqdefault.jpg,False
2,2019-07-12T19:16:37.000Z,1Qws70XGSq4,5. Synchronization Process and Pruning,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/1Qws70XGSq4/default.jpg,https://i.ytimg.com/vi/1Qws70XGSq4/mqdefault.jpg,https://i.ytimg.com/vi/1Qws70XGSq4/hqdefault.jpg,false
