,date,provider,video_id,page_link,download_link,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,downloaded
66,2014-03-06T20:40:13Z,youtube,VsQi0jHQ3to,0,0,"6. Hydrogen storage, and atoms to molecules","MIT 3.021J Introduction to Modeling and Simulation, Spring 2012 View the complete course: http://ocw.mit.edu/3-021JS12 Instructor: Jeffrey Grossman The ...",https://i.ytimg.com/vi/VsQi0jHQ3to/default.jpg,https://i.ytimg.com/vi/VsQi0jHQ3to/mqdefault.jpg,https://i.ytimg.com/vi/VsQi0jHQ3to/hqdefault.jpg,True
67,2014-06-25T12:34:46Z,youtube,pISCwkvKMZ0,0,0,7. The Lost Lecture,"MIT 6.370 The Battlecode Programming Competition, IAP 2013 View the complete course: http://ocw.mit.edu/6-370IAP13 Instructor: Cory Li The lecture, ...",https://i.ytimg.com/vi/pISCwkvKMZ0/default.jpg,https://i.ytimg.com/vi/pISCwkvKMZ0/mqdefault.jpg,https://i.ytimg.com/vi/pISCwkvKMZ0/hqdefault.jpg,True
68,2014-02-26T19:25:15Z,youtube,81ZWzdj-I9w,0,0,Joint Probability Mass Function (PMF) Drill 1,"MIT 6.041SC Probabilistic Systems Analysis and Applied Probability, Fall 2013 View the complete course: http://ocw.mit.edu/6-041SCF13 Instructor: Katie Szeto ...",https://i.ytimg.com/vi/81ZWzdj-I9w/default.jpg,https://i.ytimg.com/vi/81ZWzdj-I9w/mqdefault.jpg,https://i.ytimg.com/vi/81ZWzdj-I9w/hqdefault.jpg,True
69,2014-02-26T19:20:44Z,youtube,rzg_CavQI_M,0,0,Communication over a Noisy Channel,"MIT 6.041SC Probabilistic Systems Analysis and Applied Probability, Fall 2013 View the complete course: http://ocw.mit.edu/6-041SCF13 Instructor: Jimmy Li ...",https://i.ytimg.com/vi/rzg_CavQI_M/default.jpg,https://i.ytimg.com/vi/rzg_CavQI_M/mqdefault.jpg,https://i.ytimg.com/vi/rzg_CavQI_M/hqdefault.jpg,True
70,2014-03-06T21:07:25Z,youtube,w7aOU0ZAJp0,0,0,9. Labor and Development,"MIT 14.772 Development Economics: Macroeconomics, Spring 2013 View the complete course: http://ocw.mit.edu/14-772S13 Instructor: Robert Townsend In ...",https://i.ytimg.com/vi/w7aOU0ZAJp0/default.jpg,https://i.ytimg.com/vi/w7aOU0ZAJp0/mqdefault.jpg,https://i.ytimg.com/vi/w7aOU0ZAJp0/hqdefault.jpg,True
71,2014-03-06T21:07:18Z,youtube,-CASb3VeZRg,0,0,8. Macro Approaches to Consumption Smoothing and Risk Sharing,"MIT 14.772 Development Economics: Macroeconomics, Spring 2013 View the complete course: http://ocw.mit.edu/14-772S13 Instructor: Robert Townsend This ...",https://i.ytimg.com/vi/-CASb3VeZRg/default.jpg,https://i.ytimg.com/vi/-CASb3VeZRg/mqdefault.jpg,https://i.ytimg.com/vi/-CASb3VeZRg/hqdefault.jpg,True
72,2014-06-18T18:51:12Z,youtube,NN2txluv1PY,0,0,"4. Expectations, Momentum, and Uncertainty","MIT 8.04 Quantum Physics I, Spring 2013 View the complete course: http://ocw.mit.edu/8-04S13 Instructor: Allan Adams In this lecture, Prof. Adams begins with a ...",https://i.ytimg.com/vi/NN2txluv1PY/default.jpg,https://i.ytimg.com/vi/NN2txluv1PY/mqdefault.jpg,https://i.ytimg.com/vi/NN2txluv1PY/hqdefault.jpg,True
73,2014-03-20T20:50:47Z,youtube,dFF2DuEv-2c,0,0,"7. Toward a 1D Device Model, Part I: Device Fundamentals","MIT 2.627 Fundamentals of Photovoltaics, Fall 2011 View the complete course: http://ocw.mit.edu/2-627F11 Instructor: Tonio Buonassisi This lecture on ...",https://i.ytimg.com/vi/dFF2DuEv-2c/default.jpg,https://i.ytimg.com/vi/dFF2DuEv-2c/mqdefault.jpg,https://i.ytimg.com/vi/dFF2DuEv-2c/hqdefault.jpg,True
74,2014-03-06T20:39:08Z,youtube,d3ChB1tDMyI,0,0,0. Introduction to Part II: Quantum mechanical methods,"MIT 3.021J Introduction to Modeling and Simulation, Spring 2012 View the complete course: http://ocw.mit.edu/3-021JS12 Instructor: Jeffrey Grossman The ...",https://i.ytimg.com/vi/d3ChB1tDMyI/default.jpg,https://i.ytimg.com/vi/d3ChB1tDMyI/mqdefault.jpg,https://i.ytimg.com/vi/d3ChB1tDMyI/hqdefault.jpg,True
75,2014-03-06T20:39:57Z,youtube,U5zt5u-C_uY,0,0,4. Application of QM modeling: Solar thermal fuels (I),"MIT 3.021J Introduction to Modeling and Simulation, Spring 2012 View the complete course: http://ocw.mit.edu/3-021JS12 Instructor: Jeffrey Grossman This ...",https://i.ytimg.com/vi/U5zt5u-C_uY/default.jpg,https://i.ytimg.com/vi/U5zt5u-C_uY/mqdefault.jpg,https://i.ytimg.com/vi/U5zt5u-C_uY/hqdefault.jpg,True
76,2014-03-20T20:48:26Z,youtube,AWU3lTs9KJA,0,0,"6. Charge Separation, Part II: Diode Under Illumination","MIT 2.627 Fundamentals of Photovoltaics, Fall 2011 View the complete course: http://ocw.mit.edu/2-627F11 Instructor: Tonio Buonassisi This lecture begins with ...",https://i.ytimg.com/vi/AWU3lTs9KJA/default.jpg,https://i.ytimg.com/vi/AWU3lTs9KJA/mqdefault.jpg,https://i.ytimg.com/vi/AWU3lTs9KJA/hqdefault.jpg,True
77,2014-03-06T15:32:40Z,youtube,dNvt3SSm9Jc,0,0,"Ses. 2-2: Continuous Process Improvement, Healthcare Option","MIT 16.660J Introduction to Lean Six Sigma Methods, IAP 2012 View the complete course: http://ocw.mit.edu/16-660JIAP12 Instructor: Bo E. Madsen, Hugh ...",https://i.ytimg.com/vi/dNvt3SSm9Jc/default.jpg,https://i.ytimg.com/vi/dNvt3SSm9Jc/mqdefault.jpg,https://i.ytimg.com/vi/dNvt3SSm9Jc/hqdefault.jpg,True
